source,web-scraper-order,price,size,location,classification,roads,price per foot
Bahrain Finder,1746267935-1555,134872,179,Buqwa,RHA,2,70
Bahrain Finder,1746268145-3078,99102,342.9,Hamalah,RHA,1,26.85
Bahrain Finder,1746268003-2039,136000,485,Janabiyah,RA,1,26.05
Bahrain Finder,1746268183-3341,162045,388,Jid Ali,RB,1,38.79
Bahrain Finder,1746267885-1220,500000,368.7,Sadad,RB,2,126
Bahrain Finder,1746268205-3487,116563,416.5,Arad,RA,1,26
Property Finder,1746265378-2120,180000,180,Hamala,RHA,1,92.9
Bahrain Finder,1746267743-153,462077,536.6,Manama,RHB,2,80
Bahrain Finder,1746268091-2679,50000,61.7,Mahooz,RHB,2,75.3
Bahrain Finder,1746267800-563,108340,134.2,Manama,RHB,1,75
Property Finder,1746261726-690,50000,66,alnaim,RHB,1,70.4
Property Finder,1746263745-1477,1123891,1491,Manama,RHB,1,70
Bahrain Finder,1746267743-152,1123439,1491,Manama,RHB,3,70
Bahrain Finder,1746267804-599,1141522,1515,Jurdab,RB,2,70
Property Finder,1746265302-2090,154000,205,Shahrakan,RHB,1,69.8
Bahrain Finder,1746267747-183,60000,81.5,Manama,RHB,1,69
Bahrain Finder,1746267796-559,64913,87.4,East Riffa,RB,2,69
Bahrain Finder,1746267848-950,25000,34.3,Muharraq,RHB,1,67.7
Bahrain Finder,1746267775-384,501000,691,A'ali,RA,1,67.4
Bahrain Finder,1746267767-327,100000,139,Qudaibiya,RHB,2,66.8
Bahrain Finder,1746267792-512,75000,111.3,Muharraq,RHB,1,62.6
Bahrain Finder,1746267763-297,400000,601,A'ali,RB,1,61.8
Property Finder,1746261567-627,202000,313,Adliya,RHA,1,60
Bahrain Finder,1746267901-1329,978448,1515,Jurdab,RB,1,60
Bahrain Finder,1746267808-622,117801,192,Manama,RHB,1,57
Bahrain Finder,1746267800-581,60001,98.3,Manama,RHB,2,56.7
Property Finder,1746260228-104,120000,200,Riffa Al Sharqi,RHA,1,55.7
Bahrain Finder,1746267751-202,645893,1091,Budaiya,RHB,4,55
Bahrain Finder,1746268183-3346,312942,528.6,Jid Ali,RB,2,55
Property Finder,1746263767-1486,270000,457,Mahooz,RB,1,54.9
Bahrain Finder,1746267763-308,120000,207,Manama,RHB,1,53.9
Bahrain Finder,1746267990-1967,49000,95,Muharraq,RHB,1,53.8
Bahrain Finder,1746267734-51,44925,81.2,Al Naim,RHB,1,51.4
Property Finder,1746262052-818,130000,237,Gudaibiya,RHB,1,51
Bahrain Finder,1746267759-277,30000,56.5,Manama,RHB,2,49.3
Bahrain Finder,1746267906-1355,100000,192,Manama,RHB,1,48.4
Property Finder,1746260733-301,110000,212,Budaiya,RB,1,48.2
Bahrain Finder,1746267824-770,943518,1865,Riffa,RA,3,47
Property Finder,1746260320-141,50000,102,Dumistan,RHB,1,45.5
Bahrain Finder,1746267840-870,34933,71.8,Manama,RHB,2,45.2
Property Finder,1746262414-958,243643,503,Zinj,RB,1,45
Property Finder,1746262464-977,243643,503,Bu Ashira,RB,1,45
Property Finder,1746263491-1377,1028726,2123,Manama,RB,1,45
Bahrain Finder,1746267939-1601,783727,1618,Manama,RA,2,45
Bahrain Finder,1746268003-2045,243643,503,Bu Asheera,RB,1,45
Bahrain Finder,1746267775-399,65000,136,Muharraq,RHB,1,44.4
Property Finder,1746263691-1456,70663,149,Sitra,RHA,1,44.1
Property Finder,1746263892-1535,155000,329,Eker,RB,1,43.8
Bahrain Finder,1746267808-635,60000,127.6,Muharraq,RHB,1,43.7
Property Finder,1746264360-1718,70000,149,Sitra,RHA,1,43.6
Property Finder,1746263164-1250,69000,149,Sitra,RHA,1,43
Bahrain Finder,1746268213-3537,69000,149.2,Sitra,RHA,1,43
Bahrain Finder,1746268226-3639,70000,149.2,Sitra,RHA,1,43
Bahrain Finder,1746267771-364,83000,180,Sayah,RHA,1,42.8
Property Finder,1746261303-523,40000,87,Riffa Al Sharqi,RB,1,42.7
Bahrain Finder,1746267999-2021,40000,87,East Riffa,RB,2,42.7
Bahrain Finder,1746267960-1745,125000,276.2,Tubli,RHB,3,42.1
Bahrain Finder,1746268058-2433,160491,355,Diraz,RHB,1,42
Bahrain Finder,1746268226-3641,212029,469,Tubli,RA,1,42
Property Finder,1746263661-1445,185000,412,Amwaj Avenue,RA,1,41.7
Property Finder,1746260514-216,250000,558,Gufool,RHA,1,41.6
Property Finder,1746264273-1683,66000,148,Muharraq,RB,1,41.4
Bahrain Finder,1746267885-1199,185000,416.3,Muharraq,RHB,2,41.3
Bahrain Finder,1746268199-3447,148000,334.9,A'ali,RHB,4,41.1
Property Finder,1746262491-988,147000,334,A'Ali,RHB,3,40.9
Bahrain Finder,1746267734-65,55000,126,Zallaq,RHB,2,40.6
Bahrain Finder,1746268209-3504,119861,277,East Riffa,RHA,1,40.2
Property Finder,1746262402-953,221178,513,Galali,RA,1,40.1
Property Finder,1746262424-962,182471,423,Hidd,RB,1,40.1
Bahrain Finder,1746268209-3512,85162,197.3,Sar,RG,1,40.1
Property Finder,1746260063-39,148000,344,Al Juffair,RHB,1,40
