web-scraper-order,web-scraper-start-url,price,size,location,classification,roads,price per foot
"1746267729-1","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 121,318","417.9","Sadad","RB","1","27"
"1746267729-2","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 239,996","959.1","Jurdab","RA","1","23.2"
"1746267729-3","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 444,101","2947","Damistan","RG","2","14"
"1746267729-4","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 641,203","3309.4","Janabiyah","RG","1","18"
"1746267729-5","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 105,001","367","Tubli","RB","1","26.6"
"1746267729-6","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 85,001","279","Diraz","RHB","2","28.3"
"1746267729-7","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 164,167","517","Jablat Hibshi","RA","2","29.5"
"1746267729-8","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 94,998","332.3","Sadad","RA","1","26.6"
"1746267729-9","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 102,001","381.9","Riffa","RB","2","24.8"
"1746267729-10","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 47,900","167.2","Hamalah","RHA","1","26.6"
"1746267729-11","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 98,814","306","Diraz","RB","1","30"
"1746267729-12","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 199,295","529","Sayah","B3*","1","35"
"1746267729-13","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 184,414","489.5","Sayah","B3*","1","35"
"1746267729-14","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 105,000","300","Samaheej","RHB","1","32.5"
"1746267729-15","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 108,000","347.2","Tubli","RA","1","28.9"
"1746267729-16","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 134,722","521.5","Damistan","SP","1","24"
"1746267729-17","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 101,000","350.2","Sadad","RB","1","26.7"
"1746267729-18","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 205,000","999.9","Al Hajar","BD","1","19.2"
"1746267729-19","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 49,500","165.4","Hamalah","RHA","1","28"
"1746267729-20","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 83,636","259","Galali","RB","2","30"
"1746267731-21","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 131,738","437.1","Barbar","RHA","2","28"
"1746267731-22","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 92,064","285.1","Hamalah","RHA","2","30"
"1746267731-23","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 255,236","912","A'ali","B4","1","26"
"1746267731-24","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 95,000","324","Budaiya","RB","2","25.8"
"1746267731-25","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 262,469","1625.6","Karzakkan","Undefined","1","15"
"1746267731-26","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 89,906","257","Al Qurayyah","RHB","1","32.5"
"1746267731-27","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 68,308","167","Bu Kowarah","RB","2","38"
"1746267731-28","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 127,618","456","Musala","RB","2","26"
"1746267731-29","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 114,185","408","Musala","RB","2","26"
"1746267731-30","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 111,946","400","Musala","RB","1","26"
"1746267731-31","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 338,657","1573.1","Sar","RA","1","20"
"1746267731-32","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 271,417","764.1","Buqwa","B4","2","33"
"1746267731-33","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 1,003,899","2664.7","Sar","BC","2","35"
"1746267731-34","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 842,744","4349.6","Jasrah","RG","1","18"
