web-scraper-order,web-scraper-start-url,listing,listing-href,price,size,date,location,titel,description,agency
"1746259967-1","https://www.propertyfinder.bh/en/search?c=1&t=5&fu=0&ob=mr&page=88","","https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-bu-quwah-888110.html","127,036","4,230 sqft / 393 sqm","","Bu Quwah, Northern Governorate","Land for sale in Bu quwa - Residential","Prime Location for sale located in Bu Quwah

_____________

Area: Bu quwa
Plot size (SQM): 393.4

** Asking Price BD30 per F2","TELAL TYLOS REALESTATE BAHRAINI PARTNERSHIP COMPANY"
"1746259969-2","https://www.propertyfinder.bh/en/search?c=1&t=5&fu=0&ob=mr&page=88","","https://www.propertyfinder.bh/en/plp/buy/land-for-sale-muharraq-governorate-amwaj-islands-880521.html","860,000","15,640 sqft / 1,453 sqm","","Amwaj Islands, Muharraq Governorate","For Sale Land in Amwaj","For Sale Land in Amwaj
Strategic location Close to the Sea And Restaurants 
Accessible Roads 
Classification SP
 Area 1453  SQM
BD 54,986 Price per SQF
Classification 
Price  BD 860,000","United Trust Real Estate"
"1746259972-3","https://www.propertyfinder.bh/en/search?c=1&t=5&fu=0&ob=mr&page=88","","https://www.propertyfinder.bh/en/plp/buy/land-for-sale-muharraq-governorate-amwaj-islands-880520.html","870,000","15,640 sqft / 1,453 sqm","","Amwaj Islands, Muharraq Governorate","For Sale Land in Amwaj","For Sale Land in Amwaj
Strategic location Close to the Sea And Restaurants 
Accessible Roads 
Classification SP
 Area 1453  SQM
BD 55.626 Price per SQF
Classification 
Price  BD 870,000","United Trust Real Estate"
"1746259974-4","https://www.propertyfinder.bh/en/search?c=1&t=5&fu=0&ob=mr&page=88","","https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-hamad-town-851412.html","134,580","5,382 sqft / 500 sqm","","Hamad Town, Northern Governorate","land for sale in AL-LAWZI, area 500.8 square meters","Area: AL-LAWZI 
Plot size (SQM):500.8 SQM
Property type : Land 
property classification: RA","TELAL TYLOS REALESTATE BAHRAINI PARTNERSHIP COMPANY"
"1746259977-5","https://www.propertyfinder.bh/en/search?c=1&t=5&fu=0&ob=mr&page=88","","https://www.propertyfinder.bh/en/plp/buy/land-for-sale-muharraq-governorate-diyar-al-muharraq-898982.html","187,610","6,448 sqft / 599 sqm","","Diyar Al Muharraq, Muharraq Governorate","Corner Land For Sale in Diyar Almuharraq","للبيع ارض شارعين وزاوية في ديار المحرق موقع مميز
التصنيق: SP
المساحة: 599.9 sqm
سعر القدم: 29

السعر الاجمالي: 187,610","Union Real Estate"
"1746259979-6","https://www.propertyfinder.bh/en/search?c=1&t=5&fu=0&ob=mr&page=88","","https://www.propertyfinder.bh/en/plp/buy/land-for-sale-central-governorate-salmabad-863433.html","162,405","6,243 sqft / 580 sqm","","Salmabad, Central Governorate","Prime Spot I TWO Road Corner Land","Residential Land for Sale Located in Salmabad  with a classification of RB
• Corner Plot
• 580.3SQM
• Total Price BD 162,405","TELAL TYLOS REALESTATE BAHRAINI PARTNERSHIP COMPANY"
"1746259982-7","https://www.propertyfinder.bh/en/search?c=1&t=5&fu=0&ob=mr&page=88","","https://www.propertyfinder.bh/en/plp/buy/land-for-sale-muharraq-governorate-busaiteen-871998.html","180,000","5,974 sqft / 555 sqm","","Busaiteen, Muharraq Governorate","For Sale Land in Busaiteen","For Sale Land in busaiteen
Classification RA
Area 555.2 sqm
Price per Sqf 30.119
Price BD 180,000","United Trust Real Estate"
"1746259984-8","https://www.propertyfinder.bh/en/search?c=1&t=5&fu=0&ob=mr&page=88","","https://www.propertyfinder.bh/en/plp/buy/land-for-sale-muharraq-governorate-arad-760392.html","153,000","6,114 sqft / 568 sqm","13 Jan 2024","Arad, Muharraq Governorate","Land for Sale in Arad","Land for sale in Arad can be used for villa or building (Residential land or investment building) close to Al Basher kinder Garten in main road. Located on one of the most environmentally and friendly area of Bahrain with smart city and close to mosque.","Al Naham Real Estate"
"1746259987-9","https://www.propertyfinder.bh/en/search?c=1&t=5&fu=0&ob=mr&page=88","","https://www.propertyfinder.bh/en/plp/buy/land-for-sale-muharraq-governorate-busaiteen-871960.html","600,000","10,850 sqft / 1,008 sqm","","Busaiteen, Muharraq Governorate","For Sale Land in alsayah ( busaiteen)","For Sale Land in alsayah ( busaiteen) 
Classification BC
Area 1008 sqm
Price per Sqf 55.3
Price BD 600,000","United Trust Real Estate"
"1746259989-10","https://www.propertyfinder.bh/en/search?c=1&t=5&fu=0&ob=mr&page=88","","https://www.propertyfinder.bh/en/plp/buy/land-for-sale-southern-governorate-riffa-north-riffa-871996.html","1,000,000","34,423 sqft / 3,198 sqm","","North Riffa, Riffa, Southern Governorate","For Sale Land in albuhair ( riffa)","For Sale Land in albuhair ( riffa) 
Classification BD
Area 3198 sqm
Price per Sqf 29.051
Price BD 1,000,000","United Trust Real Estate"
